trial,n_components,method,rmse
0,2,project,2.0341547400614775
0,2,sklearn,2.034154740061474
0,4,project,1.6204361708500308
0,4,sklearn,1.6045581864207679
0,6,project,1.285698982385196
0,6,sklearn,1.1747658363352074
0,8,project,0.9606119693026924
0,8,sklearn,0.7309319215218805
1,2,project,2.0777810530868983
1,2,sklearn,1.9682963785315977
1,4,project,1.801281256722719
1,4,sklearn,1.5133945636275106
1,6,project,1.586180734671196
1,6,sklearn,1.1035411938260453
1,8,project,1.4236611251802742
1,8,sklearn,0.6993985442452387
2,2,project,2.1281378468914904
2,2,sklearn,2.1281378468914904
2,4,project,1.760222778743015
2,4,sklearn,1.7258283906074532
2,6,project,1.4794818304873845
2,6,sklearn,1.2943065261837796
2,8,project,1.3971835207164895
2,8,sklearn,0.8077658726207094
3,2,project,2.0876976339975393
3,2,sklearn,2.0325022086674824
3,4,project,1.8100676723955758
3,4,sklearn,1.6168272944056326
3,6,project,1.6187050655214292
3,6,sklearn,1.166194492409591
3,8,project,1.5426498303840144
3,8,sklearn,0.7321419441390378
4,2,project,2.090176519733273
4,2,sklearn,2.074269482367396
4,4,project,1.7424348814784478
4,4,sklearn,1.6651441876221649
4,6,project,1.4195026141315497
4,6,sklearn,1.2619395261846684
4,8,project,1.4282609504324244
4,8,sklearn,0.7823418428508448
5,2,project,2.1599248961965825
5,2,sklearn,2.1082873301266902
5,4,project,1.850405054290547
5,4,sklearn,1.6739375262417693
5,6,project,1.6124301909896064
5,6,sklearn,1.249315872585712
5,8,project,1.5230041862588546
5,8,sklearn,0.7867081640281742
6,2,project,2.186050020027242
6,2,sklearn,2.1860500200272
6,4,project,1.7923624922720593
6,4,sklearn,1.7085300036217326
6,6,project,1.4884911306500943
6,6,sklearn,1.2935127497938168
6,8,project,1.2407231747401304
6,8,sklearn,0.8223114523174356
7,2,project,2.0621753203880813
7,2,sklearn,2.0621753203880764
7,4,project,1.7238921239451397
7,4,sklearn,1.6214331387970593
7,6,project,1.4608556862113882
7,6,sklearn,1.224087022438606
7,8,project,1.3876579005813878
7,8,sklearn,0.7611082454893033
8,2,project,2.0114539175142756
8,2,sklearn,2.011453917514275
8,4,project,1.591954927971928
8,4,sklearn,1.5871408945345584
8,6,project,1.252822928696817
8,6,sklearn,1.133351507788877
8,8,project,0.9674821279232961
8,8,sklearn,0.7351805086359342
9,2,project,2.1009784819130117
9,2,sklearn,2.100978481913005
9,4,project,1.6803886523591962
9,4,sklearn,1.68038865235912
9,6,project,1.328110294664191
9,6,sklearn,1.272245250412993
9,8,project,1.0861496971872702
9,8,sklearn,0.7643008505118021
10,2,project,2.0683322734740623
10,2,sklearn,2.068311162921402
10,4,project,1.652058728993874
10,4,sklearn,1.6515737391434033
10,6,project,1.2492010829736224
10,6,sklearn,1.2490418274790325
10,8,project,0.8337121660752027
10,8,sklearn,0.8022149695257548
11,2,project,2.4956201634062825
11,2,sklearn,2.022106349437263
11,4,project,2.4956201634062825
11,4,sklearn,1.595417055885707
11,6,project,2.4956201634062825
11,6,sklearn,1.1878038446593269
11,8,project,2.4956201634062825
